dedup_key,name,sku,item_number,brand,category_path,source_category,product_url,price,currency,pack_size,availability,description,specifications,image_urls,rating,variants,alternatives,extraction_tier,scraped_at
DRCDK,Alasta Pro,DRCDK,DRCDK,Dash,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/alasta-pro,28.49,USD,,in_stock,"Make glove changes faster and easier with Alasta® PRO nitrile dental exam gloves, featuring innovative Glide Assist™ technology that helps you slide into gloves effortlessly — even with damp hands. Designed for dental professionals, the Soft Fit™ formulation provides a comfortable, form-fitting feel that enhances dexterity during procedures.
The professional medical blue color offers a clean, clinical look that complements any operatory setting. Alasta® PRO gloves are fentanyl-tested and chemo-approved, ensuring trusted protection for use in high-risk or clinical dental environments.
Each box contains 200 premium nitrile gloves, offering exceptional value and efficiency for busy dental practices.",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcdk.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,[],[],jsonld,2026-06-27T04:49:27.371172+00:00
DRCDG,Bio Nitrile,DRCDG,DRCDG,Cranberry,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/bio-nitrile-sup-reg-sup,29.99,USD,,in_stock,"BioNitrile gloves are made with advanced biodegradable materials that break down 90% in less than 1.5 years. This reduces permanent waste and means less greenhouse gas emissions.

Textured fingertip finish
Beaded cuff
Ambidextrous
Blue color
Thickness at palm 2.0 mils
Thickness at fingertip 2.2 mils
300 gloves per box (250 size XL)
Order 10 boxes to purchase a case.",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcdg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,[],[],mixed,2026-06-27T04:49:27.371284+00:00
DRCDI,Black Maxx,DRCDI,DRCDI,Dash,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/black-maxx-sup-reg-sup,28.49,USD,,in_stock,"Powder-free nitrile exam gloves.
Proprietary inner coating helps gloves glide on damp hands easily.

Textured fingertip finish
Beaded cuff
Ambidextrous
Black color
Polymer coated
Thickness: at palm 2.8 mils; at fingertip 3.9 mils
Order 10 boxes to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcdi.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,[],[],mixed,2026-06-27T04:49:27.371234+00:00
DRCCY,Carbon Air,DRCCY,DRCCY,Cranberry,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/carbon-reg-air,29.49,USD,,in_stock,"Powder-free nitrile exam gloves.
Exceptionally strong and flexible formulation prevents tearing, especially while donning.

Textured fingertip finish
Beaded cuff
Ambidextrous
Black
Thickness: at palm 2.0mils; at fingertips 2.7mils
300 gloves per box (250 for x-large)
Order 10 boxes to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drccy_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",5.0,[],[],mixed,2026-06-27T04:49:27.371459+00:00
DRCDM,Compac Nitrile,DRCDM,DRCDM,Cranberry,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/compac-nitrile,8.49,USD,,in_stock,"Compac™ By The Cuff® Nitrile Powder Free Exam Gloves feature innovative dispensing technology designed to reduce cross-contamination, minimize glove waste, and improve operatory efficiency.","{""Brand"": ""Cranberry® Compac"", ""Product Type"": ""Nitrile Exam Gloves"", ""Material"": ""Powder-free nitrile"", ""Thickness"": ""Approximately 2.2–2.5 mil"", ""Texture"": ""Fingertip textured"", ""Sterility"": ""Non-sterile"", ""Color"": ""Black"", ""Packaging"": ""100 gloves per bag"", ""Available Sizes"": ""XS, S, M, L, XL"", ""Use Case"": ""Dental and clinical examination procedures""}","[""https://www.safcodental.com/media/catalog/product/c/r/cranberry-compac-nitrile-front-facing-100-box_1.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,[],[],mixed,2026-06-27T04:49:27.371079+00:00
DRCCA,Crave,DRCCA,DRCCA,Cranberry,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/crave-trade,24.49,USD,,in_stock,"Powder-free nitrile exam glove with lanolin and Vitamin E.

Textured fingertip finish
Beaded cuff
Non-chlorinated
Ambidextrous
Blue color
Vitamin E and lanolin coated
Thickness: at palm 3.5 mils; at fingertip 3.8 mils
200 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcca_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",4.0,[],[],mixed,2026-06-27T04:49:27.371145+00:00
DRCDH,GloveUp,DRCDH,DRCDH,Dash,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/gloveup-sup-reg-sup,38.49,USD,,in_stock,"Powder-free nitrile exam gloves.

Textured fingertip finish
Beaded cuff
Ambidextrous
Cobalt color
Thickness: at palm 1.9 mils; at fingertip 3.1 mils
Order 10 boxes to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcdh.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",5.0,[],[],mixed,2026-06-27T04:49:27.371259+00:00
DRCDL,Halyard Black Nitrile,DRCDL,DRCDL,Halyard,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/halyard-black-nitrile,8.29,USD,,in_stock,"HALYARD* Black Nitrile Exam Gloves deliver dependable protection and professional performance for dental professionals. Perfect for clinical and hygiene procedures, these nitrile gloves provide excellent tactile sensitivity and a secure grip with textured fingertips for confident instrument handling. The sleek black color conceals stains, maintaining a clean, modern look in any dental setting. Each box contains 100 gloves in a SMARTPULL* Dispenser designed to reduce waste, improve efficiency, and save valuable operatory space.",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,[],[],jsonld,2026-06-27T04:49:27.371193+00:00
DRCCZ,Micro-Touch NitraFree Blue,DRCCZ,DRCCZ,Ansell,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/micro-touch-reg-nitrafree-trade-blue,19.99,USD,,in_stock,"Powder-free nitrile exam gloves.
Comfortable and reliable protection with a low dermatits potential. Made without sulfur-based chemical accelerants for tactility and to help prevent allergic reactions.

Textured fingertip finish
Beaded cuff
Ambidextrous
Blue color
Thickness: at palm 2.8 mils; at fingertip 3.9 mils
200 gloves per box (X-large 180 gloves per box)
Order 10 boxes to purchase a case
Tested for use with chemotherapy drugs",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drccz.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,[],[],mixed,2026-06-27T04:49:27.371427+00:00
DRCDA,Micro-Touch NitraFree Pink,DRCDA,DRCDA,Ansell,Dental Exam Gloves,Dental Exam Gloves,https://www.safcodental.com/product/micro-touch-reg-nitrafree-trade-pink,15.99,USD,,in_stock,"Powder-free nitrile exam gloves.
Made from a durable and soft nitrile formulation manufactured without chemical accelerators, helping to protect the user from allergies.

Textured fingertip finish
Beaded cuff
Ambidextrous
Pink color
Thickness: at palm 3.1 mils; at fingertip 5.5 mils
100 gloves per box
Order 10 boxes to purchase a case
Tested for use with chemotherapy drugs",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcda.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",5.0,[],[],mixed,2026-06-27T04:49:27.371400+00:00
