dedup_key,name,sku,item_number,brand,category_path,source_category,product_url,price,currency,pack_size,availability,description,specifications,image_urls,rating,variants,alternatives,extraction_tier,scraped_at
DRCAN,Alasta,DRCAN,DRCAN,Dash,Nitrile gloves > Dash > Exclusive Glove Deals,Dental Exam Gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,13.49,USD,,in_stock,"Soft-Fit&trade; powder-free nitrile exam gloves.

Textured whole hand finish
Beaded cuff
Non-chlorinated
Ambidextrous
Blue color
Thickness: at palm 3.1 mils; at fingertip 3.9 mils;&nbsp;&plusmn; 1.2
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4680714"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680720"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680726"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680732"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681102"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681105"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681108"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681111"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681112"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681210"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.688881+00:00
DRCAU,Alasta Aloe,DRCAU,DRCAU,Dash,Nitrile gloves > Dash > Exclusive Glove Deals,Dental Exam Gloves,https://www.safcodental.com/product/alasta-reg-aloe,13.99,USD,,in_stock,"Soft-Fit&trade; powder-free nitrile exam gloves.
The Alasta Aloe nitrile exam gloves are a great choice for those who care for their hands. Experience the power of certified organic aloe, skin friendly design, and the Soft Fit&trade; thin nitrile formulation. When you need nitrile gloves but want the comfort and performance of latex.

Organic aloe provides soothing benefit to dry, irritated skin
Skin friendly nitrile formulation lowers risk of developing contact dermatitis
Glides on damp hands easily
Thin design delivers increased touch sensitivity
Cool green color

&nbsp;",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcau.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4680805"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680812"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680820"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680827"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.694512+00:00
DRCDK,Alasta Pro,DRCDK,DRCDK,Dash,Nitrile gloves > Dash,Dental Exam Gloves,https://www.safcodental.com/product/alasta-pro,28.49,USD,,in_stock,"Make glove changes faster and easier with Alasta® PRO nitrile dental exam gloves, featuring innovative Glide Assist™ technology that helps you slide into gloves effortlessly — even with damp hands. Designed for dental professionals, the Soft Fit™ formulation provides a comfortable, form-fitting feel that enhances dexterity during procedures.
The professional medical blue color offers a clean, clinical look that complements any operatory setting. Alasta® PRO gloves are fentanyl-tested and chemo-approved, ensuring trusted protection for use in high-risk or clinical dental environments.
Each box contains 200 premium nitrile gloves, offering exceptional value and efficiency for busy dental practices.",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcdk.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4681214"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681216"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681218"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681220"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4681222"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.699550+00:00
DRCCV,Alasta Shimmer Pink Nitrile,DRCCV,DRCCV,Dash,Nitrile gloves > Dash,Dental Exam Gloves,https://www.safcodental.com/product/alasta-sup-reg-sup-shimmer-pink-nitrile,14.49,USD,,in_stock,"Powder-free nitrile exam gloves.
Pink for a cause: for every case sold, DASH® Medical donates &nbsp;$1 to The American Cancer SocietyTextured fingertip finishBeaded cuffAmbidextrousPink colorTested for use with chemotherapy drugsThickness: at palm 2.8 mils; at fingertips 3.9 mils100 gloves per boxOrder 10 boxes to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drccv.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4680055"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680058"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680061"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680064"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.704682+00:00
DRCBH,Alasta White,DRCBH,DRCBH,Dash,Nitrile gloves > Dash,Dental Exam Gloves,https://www.safcodental.com/product/alasta-sup-reg-sup-white,10.99,USD,,in_stock,"Powder-free nitrile exam gloves.
Soft fit gloves with a textured finish for comfort and control.

Textured fingertip finish
Beaded cuff
Non-chlorinated
Ambidextrous
White color
Thickness: at palm 3.1 mils; at fingertip 3.9 mils
100 gloves per box&nbsp;
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcbh.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4680902"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680907"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680911"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680915"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.709908+00:00
DRBAD,AloePro,DRBAD,DRBAD,Dash,Latex gloves > Dash,Dental Exam Gloves,https://www.safcodental.com/product/aloepro-trade,14.99,USD,,in_stock,"Powder-free latex exam gloves.
Coated on the inside with soothing aloe to help moisturize and soften your hands while working. The gloves are fully textured, providing a firm grip.


Textured whole hand finish
Powder-free
Beaded cuff
Chlorinated
Ambidextrous
50&mu;g or less of latex protein
Natural color
Aloe coated
100 gloves per box
Order 10 boxes to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drbad.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4680147"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680158"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680169"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4680173"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.715024+00:00
DRCBL,Aqua Source,DRCBL,DRCBL,Cranberry,Nitrile gloves > Cranberry,Dental Exam Gloves,https://www.safcodental.com/product/aqua-source-reg,24.99,USD,,in_stock,"Powder-free nitrile exam gloves.
Natural form-fitting gloves coated with lanolin and Vitamin E.

Textured whole hand finish
Beaded cuff
Chlorinated
Ambidextrous
Aqua color
Thickness: at palm 3.2 mils; at fingertips 4.0 mils
200 gloves per box&nbsp;
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4711902"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4711905"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4711908"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4711911"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4711912"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.720077+00:00
DRDAL,AquaPrene,DRDAL,DRDAL,Cranberry,Chloroprene gloves > Cranberry,Dental Exam Gloves,https://www.safcodental.com/product/aquaprene-reg,33.49,USD,,in_stock,"Powder-free&nbsp;chloroprene&nbsp;examination gloves.
Combines the comfort of latex and the strength of nitrile.

Textured fingertip finish
Beaded cuff
Ambidextrous
Aqua blue color
Thickness: at palm 2.8 mils; at fingertip3.5 mils; &plusmn;0.8
200 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdal_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4713701"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4713703"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4713705"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4713707"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4713709"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.725284+00:00
DRCBT,Aquasoft,DRCBT,DRCBT,Halyard,Nitrile gloves > Halyard > Take Back Your Costs,Dental Exam Gloves,https://www.safcodental.com/product/aquasoft,31.49,USD,,in_stock,"Powder-free nitrile exam gloves.
Ultra-thin with a silky, snug fit. Easy to don.

Textured fingertip finish
Beaded cuff
Chlorinated
Ambidextrous
Blue
Thickness: at palm 2.8mils; at fingertips 3.1 mils
300 gloves per box
Order 10 boxes&nbsp;to purchase a case

&nbsp;",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""3021302"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""3021304"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""3021306"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""3021308"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""3021309"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.730401+00:00
DRCCI,Aurelia Absolute,DRCCI,DRCCI,Supermax,Nitrile gloves > Supermax > May - Blowout Sale,Dental Exam Gloves,https://www.safcodental.com/product/aurelia-reg-absolute-trade,15.99,USD,,in_stock,"Powder-free nitrile exam gloves.
Soft nitrile formulation with a high contrast black satin finish.&nbsp;

Textured full finger finish
Beaded cuff
Chlorinated
Ambidextrous
Black color
Thickness: at palm 3.2 mils; at fingertip 4.0 mils
200 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drcci.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",,"[{""sku"": ""4871402"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4871404"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4871406"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4871408"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}, {""sku"": ""4871410"", ""pack_size"": null, ""price"": null, ""availability"": ""unknown""}]",[],mixed,2026-06-27T05:42:17.735326+00:00
